question,code
Need top 10 hair dryers with ratings with more than 4 stars,o r r q q o s s s s s s
I want as many as possible air purifiers with over 4.5,o o r r r r q q o s s
I want as many as possible Bluetooth speakers with above 4,o o r r r r q q o s s
Can you suggest top 5 gaming chairs over 4.5?,o o o r r q q s s
Looking for couple robot vacuums that are above 4,o o r q q o o s s
"What are the best smartwatches with more than 4 stars, show top 10",o o o r q o s s s s o r r
"at least 4.3 for smart TVs, need 7",s s s o q q r r
Looking for top 10 smartwatches that are 4+ stars,o o r r q o o s s
Please recommend top 10 robot vacuums with rating at least 4.3,o o r r q q o s s s s
Please recommend few Bluetooth speakers with rating above 4,o o r q q o s s s
Need 3 wireless headphones with ratings over 4.5,o r q q o s s s
Top 7 coffee makers with at least 4.3,r r q q o s s s
Need 7 rice cookers with ratings above 4,o r q q o s s s
"above 4 for LED lamps, need couple",s s o q q o r
Need 3 coffee makers with ratings over 4.5,o r q q o s s s
"What are the best smartwatches 4+ stars, show top 5",o o o r q s s o r r
Looking for 5 hair dryers that are above 4,o o r q q o o s s
"What are the best coffee makers over 4.5, show top 5",o o o r q q s s o r r
I want as many as possible air purifiers with with more than 4 stars,o o r r r r q q o o s s s s
Top 10 baby strollers with over 4.5,r r q q o s s 
Show me 10 highly rated kitchen blenders,o o r s s q q
Show me couple highly rated rice cookers,o o r s s q q
Need few wireless headphones with ratings at least 4.3,o r q q o s s s s
Looking for as many as possible laptops that are with more than 4 stars,o o r r r r q o o o s s s s
"What are the best air purifiers over 4.5, show top 5",o o o r q q s s o r r
"with more than 4 stars for LED lamps, need 7",o s s s s o q q r r
Looking for 5 coffee makers that are above 4,o o r q q o o s s
I want 3 smart TVs with over 4.5,o o r q q o s s
Show me as many as possible highly rated air purifiers,o o r r r r s s q q
I want few laptops with at least 4.3,o o r q o s s s
Looking for as many as possible Bluetooth speakers that are above 4,o o r r r r q q o o s s
Please recommend top 10 LED lamps with rating at least 4.3,o o r r q q o s s s s
"What are the best robot vacuums with more than 4 stars, show as many as possible",o o o r q q o s s s s o r r r r
Need couple coffee makers with raitings with more than 4 stars,o r q q o s o s s s s
Need top 10 backpacks with ratings 4+ stars,o r r q o s s s
Top 7 Bluetooth speakers with with more than 4 stars,r r q q o o s s s s
"over 4.5 for coffee makers, need couple",s s o q q o r
Can you suggest as many as possible baby strollers 4+ stars?,o o o r r r r q q s s
"with more than 4 stars for rice cookers, need as many as possible",o s s s s o q q r r r r r
Need 7 rice cookers with ratings with more than 4 stars,o r q q o s s s s s s
Looking for top 5 gaming chairs that are 4+ stars,o o r r q q o o s s
Show me top 10 highly rated hair dryers,o o r r s s q q
Give me 7 laptops rated 4+ stars,o o r q s s s
Give me as many as possible men's shoes rated above 4,o o r r r r q q s s s
Can you suggest couple earbuds above 4?,o o o r q s s
I want couple baby strollers with above 4,o o r q q o s s
Please recommend couple electric scooters with rating 4+ stars,o o r q q o s s s
"4+ stars for Bluetooth speakers, need as many as possible",s s o q q r r r r r
Give me 7 coffee makers rated at least 4.3,o o r q q s s s s
Please recommend 5 rice cookers with rating with more than 4 stars,o o r q q o s s s s s s
"What are the best gaming chairs at least 4.3, show 10",o o o r q q s s s r r
I want as many as possible fitness bands with above 4,o o r r r r q q o s s
Can you suggest couple hair dryers at least 4.3?,o o o r q q s s s
Give me top 5 wireless headphones rated at least 4.3,o o r r q q s s s s
Give me top 5 fitness bands rated over 4.5,o o r r q q s s s
I want as many as possible wireless headphones with above 4,o o r r r r q q o s s
Need few robot vacuums with raitings at least 4.3,o r q q o s s s s
Need 7 fitness bands with ratings above 4,o r q q o s s s
"over 4.5 for wireless headphones, need top 10",s s o q q o r r
"with more than 4 stars for baby strollers, need 7",o s s s s o q q o r
Top 5 smart TVs with above 4,r r q q o s s
Looking for 5 smartphones that are 4+ stars,o o r q o o s s
"4+ stars for hair dryers, need top 10",s s o q q o r r
Show me top 10 highly rated wireless headphones,o o r r s s q q
Looking for 10 fitness bands that are at least 4.3,o o r q q o o s s s
Top few robot vacuums with with more than 4 stars,r r q q o o s s s s
Show me top 10 highly rated LED lamps,o o r r s s q q
Please recommend 3 laptops with rating over 4.5,o o r q o s s s
"above 4 for electric scooters, need 10",s s o q q r r 
Need top 10 wireless headphones with ratings over 4.5,o r r q q o s s s
Need couple rice cookers with ratings 4+ stars,o r q q o s s s
Show me couple highly rated rice cookers,o o r s s q q
I want top 5 wireless headphones with with more than 4 stars,o o r r q q o o s s s s
Show me 10 highly rated robot vacuums,o o r s s q q 
Give me few wireless headphones rated over 4.5,o o r q q s s s  
Give me as many as possible smart TVs rated over 4.5,o o r r r r q q s s s
find 5 inch air conditioners with 3 star rating,o q q q q s s s
find 6.5 GB detergent with 5 star rating,o q q q s s s s
give me 3 star rated 100 cm milk cartons,o o s s s q q q q 
give me 3 star rated 100 inch milk cartons,o o s s s q q q q 
